"","X","pplot","splot","tag","spec","class","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","nmaxht98","nsumht98","nsumhtbig98","time","dbh","nmaxdbh","nmaxba","nsumba","nsumba5","nsumbabig","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","dbhclq","htclq","baclq","nmaxht98clq","nsumht98clq","nsumhtbig98clq","nmaxdbhclq","nmaxbaclq","nsumbaclq","nsumba5clq","nsumbabigclq","dbhgrowthclq","bagrowthclq","htgrowthclq","dbhcl","htcl","bacl","nmaxht98cl","nsumht98cl","nsumhtbig98cl","nmaxdbhcl","nmaxbacl","nsumbacl","nsumba5cl","nsumbabigcl","dbhgrowthcl","bagrowthcl","htgrowthcl"
"11",105.1986,4,3,831,"ABBA","P",1998,808,"L","E",145,"S","FSLP",8,7,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,17.4,29.4,0.0678868344,0.2065382088,0.2065382088,0.174464829,13.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0237787704,105,TRUE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]",NA,NA,NA,"(26.4,30.3]","(0.0547,0.0721]","(0.202,0.38]","(0.192,0.379]","(0.162,0.19]",NA,NA,NA,"(14.7,22]","(13.2,15.9]","(1e-05,0.0338]",NA,NA,NA,"(29.4,36.7]","(0.0677,0.101]","(0.19,0.237]","(0.189,0.237]","(0.142,0.19]",NA,NA,NA
"12",106.1986,4,3,832,"PIRU","P",2010,808,"L","E",145,"S","FSLP",7,8,FALSE,TRUE,TRUE,NA,NA,15.552031492,69.252031492,0,1986,19.7,23.4,0.0430053624,0.0826209384,0.0826209384,0.0430053624,15.2,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0304805886,106,TRUE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(14.9,16]","(58.6,77.6]","[0,15.1]","(21.3,23.6]","(0.0356,0.0437]","(0.0686,0.102]","(0.0577,0.088]","(0.0398,0.0708]",NA,NA,NA,"(14.7,22]","(13.2,15.9]","(1e-05,0.0338]","(13.2,15.9]","(51.5,103]","[0,50.2]","(22,29.4]","(0.0338,0.0677]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"13",107.1986,4,3,833,"PIRU","P",NA,808,"L","E",145,"S","FSLP",7,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1986,14.2,24.1,0.0456168174,0.113560986,0.113560986,0.0998761764,12.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0158368056,107,FALSE,"(10.8,15.8]","(10.7,21.1]","(0.0108,0.0217]",NA,NA,NA,"(23.6,26.4]","(0.0437,0.0547]","(0.102,0.121]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(10.6,13.2]","(1e-05,0.0338]",NA,NA,NA,"(22,29.4]","(0.0338,0.0677]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"14",108.1986,4,3,835,"ABBA","P",NA,808,"L","E",145,"S","FSLP",7,6,FALSE,TRUE,TRUE,TRUE,TRUE,11.867236234,68.067236234,0,1986,24.1,17.4,0.0237787704,0.0533003856,0.0533003856,0,14.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0456168174,108,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(11.3,12.5]","(58.6,77.6]","[0,15.1]","(17.1,19.2]","(0.023,0.029]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(22,29.4]","(13.2,15.9]","(0.0338,0.0677]","(10.6,13.2]","(51.5,103]","[0,50.2]","(14.7,22]","[0,0.0338]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"15",109.1986,4,3,836,"ABBA","P",2010,808,"L","E",145,"S","FSLP",6,9,FALSE,TRUE,TRUE,NA,NA,20.427735503,78.350026933,37.654730186,1986,23.4,32.3,0.0819399966,0.1235426346,0.1235426346,0.0819399966,13.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0430053624,109,TRUE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(16,21.1]","(77.6,93.5]","(34.4,49.8]","(30.3,58.7]","(0.0721,0.271]","(0.121,0.141]","(0.111,0.13]","(0.0708,0.099]",NA,NA,NA,"(22,29.4]","(13.2,15.9]","(0.0338,0.0677]","(18.5,21.1]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.0949,0.142]","(0.0947,0.142]","(0.0474,0.0949]",NA,NA,NA
"16",110.1986,4,3,989,"BEAL","P",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,15.6,95.367236234,15.6,1986,19.7,29.4,0.0678868344,0.107902179,0.107902179,0.0678868344,14.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0304805886,110,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(14.9,16]","(93.5,110]","(15.1,34.4]","(26.4,30.3]","(0.0547,0.0721]","(0.102,0.121]","(0.088,0.111]","(0.0398,0.0708]",NA,NA,NA,"(14.7,22]","(13.2,15.9]","(1e-05,0.0338]","(13.2,15.9]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.0949,0.142]","(0.0947,0.142]","(0.0474,0.0949]",NA,NA,NA
"17",135.1986,4,4,718,"ABBA","P",1986,808,"L","E",145,"S","FSLP",7,5,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,20.2,NA,NA,NA,NA,NA,9.07,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0320474616,135,TRUE,"(15.8,58.7]","(7.6,10.7]","(0.0217,0.271]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(14.7,22]","(7.93,10.6]","(1e-05,0.0338]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",136.1986,4,4,802,"ABBA","P",NA,808,"L","E",145,"S","FSLP",8,3,FALSE,TRUE,TRUE,TRUE,TRUE,8.8,28.7,8.8,1986,5.3,9.1,0.0065038974,0.0065038974,0.0065038974,0.0065038974,3.71,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0022061886,136,FALSE,"(3.93,5.8]","(2.8,4.4]","(0.00212,0.00353]","(8.6,9.6]","[4.3,58.6]","[0,15.1]","[0,14.4]","[0,0.0163]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(1e-05,7.34]","(2.64,5.28]","(1e-05,0.0338]","(7.93,10.6]","[0,51.5]","[0,50.2]","(7.34,14.7]","[0,0.0338]","[0,0.0474]","[0,0.0473]","[0,0.0474]",NA,NA,NA
"19",137.1986,4,4,806,"BECO","P",NA,808,"L","E",145,"S","FSLP",9,3,FALSE,TRUE,FALSE,TRUE,TRUE,12.3,62.3,23.4,1986,9.1,21.3,0.0356328126,0.0545805876,0.0545805876,0.052374399,9.39,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0065038974,137,FALSE,"(7.8,10.8]","(7.6,10.7]","(0.00608,0.0108]","(11.3,12.5]","(58.6,77.6]","(15.1,34.4]","(19.2,21.3]","(0.029,0.0356]","[0,0.0686]","[0,0.0577]","(0.0398,0.0708]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]","(10.6,13.2]","(51.5,103]","[0,50.2]","(14.7,22]","(0.0338,0.0677]","(0.0474,0.0949]","(0.0473,0.0947]","(0.0474,0.0949]",NA,NA,NA
"20",138.1986,4,4,829,"ABBA","P",1986,808,"L","E",145,"S","FSLP",7,3,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,18.6,NA,NA,NA,NA,NA,9.57,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0271716984,138,TRUE,"(15.8,58.7]","(7.6,10.7]","(0.0217,0.271]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(14.7,22]","(7.93,10.6]","(1e-05,0.0338]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",149.1986,5,1,735,"ABBA","P",1988,840,"L","E",180,"S","FSLP",5,2,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,12.6,38.5,0.116415915,0.1624120806,0.1624120806,0.1624120806,7.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0124690104,149,TRUE,"(10.8,15.8]","(5.8,7.6]","(0.0108,0.0217]",NA,NA,NA,"(30.3,58.7]","(0.0721,0.271]","(0.157,0.177]","(0.147,0.167]","(0.162,0.19]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]",NA,NA,NA,"(36.7,44]","(0.101,0.135]","(0.142,0.19]","(0.142,0.189]","(0.142,0.19]",NA,NA,NA
"22",150.1986,5,1,738,"ABBA","P",NA,840,"L","E",180,"S","FSLP",2,4,FALSE,TRUE,TRUE,TRUE,FALSE,15.855913066,48.155913066,15.855913066,1986,8.9,36,0.10178784,0.1302444528,0.1302444528,0.1279542264,7.97,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,150,FALSE,"(7.8,10.8]","(7.6,10.7]","(0.00608,0.0108]","(14.9,16]","[4.3,58.6]","(15.1,34.4]","(30.3,58.7]","(0.0721,0.271]","(0.121,0.141]","(0.111,0.13]","(0.12,0.141]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]","(15.9,18.5]","[0,51.5]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"23",151.1986,5,1,739,"ABBA","P",1986,840,"L","E",180,"S","FSLP",2,3,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,11.4,NA,NA,NA,NA,NA,6.15,NA,NA,NA,"DEAD",NA,15.261481190625,0.0102070584,151,TRUE,"(10.8,15.8]","(5.8,7.6]","(0.00608,0.0108]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",152.1986,5,1,741,"BECO","P",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,TRUE,TRUE,FALSE,TRUE,15.855913066,58.855913066,37.455913066,1986,10.4,36,0.10178784,0.131008647,0.131008647,0.1247874936,10.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0084948864,152,FALSE,"(7.8,10.8]","(7.6,10.7]","(0.00608,0.0108]","(14.9,16]","(58.6,77.6]","(34.4,49.8]","(30.3,58.7]","(0.0721,0.271]","(0.121,0.141]","(0.13,0.147]","(0.12,0.141]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"25",153.1986,5,1,742,"ABBA","P",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,FALSE,15.855913066,55.455913066,15.855913066,1986,10.7,36,0.10178784,0.1143801582,0.1143801582,0.10178784,8.43,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0089920446,153,FALSE,"(7.8,10.8]","(7.6,10.7]","(0.00608,0.0108]","(14.9,16]","[4.3,58.6]","(15.1,34.4]","(30.3,58.7]","(0.0721,0.271]","(0.102,0.121]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"26",154.1986,5,1,767,"BECO","P",1998,840,"L","E",180,"S","FSLP",5,4,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,7.8,30,0.070686,0.1339688196,0.1339688196,0.1339688196,9.49,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0047783736,154,TRUE,"(5.8,7.8]","(7.6,10.7]","(0.00353,0.00608]",NA,NA,NA,"(26.4,30.3]","(0.0547,0.0721]","(0.121,0.141]","(0.13,0.147]","(0.12,0.141]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]",NA,NA,NA,"(29.4,36.7]","(0.0677,0.101]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"27",155.1986,5,1,774,"BECO","P",NA,840,"L","E",180,"S","FSLP",2,3,FALSE,TRUE,TRUE,TRUE,FALSE,10.7,68.1,0,1986,36,12,0.01130976,0.0539719026,0.0539719026,0,14.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.10178784,155,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(9.6,11.3]","(58.6,77.6]","[0,15.1]","[0,14.4]","[0,0.0163]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(29.4,36.7]","(13.2,15.9]","(0.101,0.135]","(10.6,13.2]","(51.5,103]","[0,50.2]","(7.34,14.7]","[0,0.0338]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"28",156.1986,5,1,776,"ABBA","P",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,15.855913066,57.355913066,26.055913066,1986,8.7,36,0.10178784,0.1174275102,0.1174275102,0.1174275102,7.35,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0059446926,156,FALSE,"(7.8,10.8]","(5.8,7.6]","(0.00353,0.00608]","(14.9,16]","[4.3,58.6]","(15.1,34.4]","(30.3,58.7]","(0.0721,0.271]","(0.102,0.121]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"29",157.1986,5,1,777,"BECO","P",NA,840,"L","E",180,"S","FSLP",4,4,FALSE,TRUE,FALSE,FALSE,FALSE,17.093743891,68.893743891,17.093743891,1986,12.2,30,0.070686,0.1051210776,0.1051210776,0.070686,12.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0116898936,157,FALSE,"(10.8,15.8]","(10.7,21.1]","(0.0108,0.0217]","(16,21.1]","(58.6,77.6]","(15.1,34.4]","(26.4,30.3]","(0.0547,0.0721]","(0.102,0.121]","(0.088,0.111]","(0.0398,0.0708]",NA,NA,NA,"(7.34,14.7]","(10.6,13.2]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.0949,0.142]","(0.0947,0.142]","(0.0474,0.0949]",NA,NA,NA
"30",158.1986,5,1,780,"ABBA","P",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,TRUE,TRUE,TRUE,TRUE,15.855913066,60.855913066,47.755913066,1986,12,36,0.10178784,0.1281937734,0.1281937734,0.1134777336,7.73,NA,NA,NA,"ALIVE",NA,15.261481190625,0.01130976,158,FALSE,"(10.8,15.8]","(7.6,10.7]","(0.0108,0.0217]","(14.9,16]","(58.6,77.6]","(34.4,49.8]","(30.3,58.7]","(0.0721,0.271]","(0.121,0.141]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"31",159.1986,5,1,781,"ABBA","P",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,FALSE,15.855913066,57.555913066,34.355913066,1986,9.2,36,0.10178784,0.1167245772,0.1167245772,0.1107798846,7.62,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0066476256,159,FALSE,"(7.8,10.8]","(7.6,10.7]","(0.00608,0.0108]","(14.9,16]","[4.3,58.6]","(15.1,34.4]","(30.3,58.7]","(0.0721,0.271]","(0.102,0.121]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.101,0.135]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"32",160.1986,5,1,797,"ABBA","P",1998,840,"L","E",180,"S","FSLP",5,5,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,11.2,30,0.070686,0.185727465,0.185727465,0.1809490914,7.78,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0098520576,160,TRUE,"(10.8,15.8]","(7.6,10.7]","(0.00608,0.0108]",NA,NA,NA,"(26.4,30.3]","(0.0547,0.0721]","(0.177,0.202]","(0.167,0.192]","(0.162,0.19]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]",NA,NA,NA,"(29.4,36.7]","(0.0677,0.101]","(0.142,0.19]","(0.142,0.189]","(0.142,0.19]",NA,NA,NA
"33",161.1986,5,1,799,"BECO","P",NA,840,"L","E",180,"S","FSLP",5,4,FALSE,TRUE,TRUE,TRUE,FALSE,13.3,75.6,0,1986,30,16.5,0.021382515,0.0680611932,0.0680611932,0,16,NA,NA,NA,"ALIVE",NA,15.261481190625,0.070686,161,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(12.5,13.6]","(58.6,77.6]","[0,15.1]","(14.4,17.1]","(0.0163,0.023]","[0,0.0686]","(0.0577,0.088]","[0,0.0398]",NA,NA,NA,"(29.4,36.7]","(15.9,18.5]","(0.0677,0.101]","(13.2,15.9]","(51.5,103]","[0,50.2]","(14.7,22]","[0,0.0338]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"34",200.1986,5,2,728,"ABBA","P",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,TRUE,TRUE,TRUE,TRUE,13.357324732,44.157324732,29.457324732,1986,8.9,14,0.01539384,0.020769903,0.020769903,0.01539384,4.38,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,200,FALSE,"(7.8,10.8]","(2.8,4.4]","(0.00608,0.0108]","(12.5,13.6]","[4.3,58.6]","(15.1,34.4]","[0,14.4]","[0,0.0163]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(7.34,14.7]","(2.64,5.28]","(1e-05,0.0338]","(13.2,15.9]","[0,51.5]","[0,50.2]","(7.34,14.7]","[0,0.0338]","[0,0.0474]","[0,0.0473]","[0,0.0474]",NA,NA,NA
